# ik    E (eV)      weight
    0.000000    0.350000    0.027904
    0.000000    0.375000    0.025818
    0.000000    0.400000    0.024226
    0.000000    0.425000    0.023005
    0.000000    0.450000    0.022072
    0.000000    0.475000    0.021365
    0.000000    0.500000    0.020841
    0.000000    0.525000    0.020471
    0.000000    0.550000    0.020230
    0.000000    0.575000    0.020102
    0.000000    0.600000    0.020075
    0.000000    0.625000    0.020139
    0.000000    0.650000    0.020290
    0.000000    0.675000    0.020522
    0.000000    0.700000    0.020834
    0.000000    0.725000    0.021225
    0.000000    0.750000    0.021698
    0.000000    0.775000    0.022255
    0.000000    0.800000    0.022900
    0.000000    0.825000    0.023639
    0.000000    0.850000    0.024481
    0.000000    0.875000    0.025436
    0.000000    0.900000    0.026517
    0.000000    0.925000    0.027741
    0.000000    0.950000    0.029127
    0.000000    0.975000    0.030703
    0.000000    1.000000    0.032502
